,artist,track,date,chart,spotify_query,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1024,T.I.,Big Things Poppin' (Do It),2007-09-01,rap-song,T.I.+Big+Things+Poppin',0.597,0.715,7,-6.741,1,0.036,0.00425,0.911,0.191,0.539,169.036,audio_features,0eMdAjfAfGS1AoeXgiyGXP,spotify:track:0eMdAjfAfGS1AoeXgiyGXP,https://api.spotify.com/v1/tracks/0eMdAjfAfGS1AoeXgiyGXP,https://api.spotify.com/v1/audio-analysis/0eMdAjfAfGS1AoeXgiyGXP,289987,4
1025,Mims,Like This,2007-09-01,rap-song,Mims+Like+This,0.771,0.693,7,-7.483,1,0.293,0.0317,0.0,0.342,0.525,97.163,audio_features,2Z2JnZNB7lbUdKR5GynUlV,spotify:track:2Z2JnZNB7lbUdKR5GynUlV,https://api.spotify.com/v1/tracks/2Z2JnZNB7lbUdKR5GynUlV,https://api.spotify.com/v1/audio-analysis/2Z2JnZNB7lbUdKR5GynUlV,203627,4
1026,Huey,"Pop, Lock & Drop It",2007-09-01,rap-song,"Huey+Pop,+Lock+&+Drop+It",0.723,0.644,11,-6.863,0,0.222,0.00308,0.0,0.352,0.645,144.09,audio_features,6DbqCKweKwVkHgRv1CI53D,spotify:track:6DbqCKweKwVkHgRv1CI53D,https://api.spotify.com/v1/tracks/6DbqCKweKwVkHgRv1CI53D,https://api.spotify.com/v1/audio-analysis/6DbqCKweKwVkHgRv1CI53D,261027,4
1027,Crime Mob Featuring Lil Scrappy,Rock Yo Hips,2007-08-01,rap-song,Crime+Mob+Rock+Yo+Hips,0.847,0.667,6,-5.7,1,0.17,0.0869,0.0,0.443,0.707,77.492,audio_features,76dZuMVXjIyLPRLv00skGd,spotify:track:76dZuMVXjIyLPRLv00skGd,https://api.spotify.com/v1/tracks/76dZuMVXjIyLPRLv00skGd,https://api.spotify.com/v1/audio-analysis/76dZuMVXjIyLPRLv00skGd,226547,4
1028,Down A.K.A. Kilo,Lean Like A Cholo,2007-08-01,rap-song,Down+A.K.A.+Kilo+Lean+Like+A+Cholo,0.877,0.839,8,-3.988,1,0.275,0.102,0.0,0.0735,0.926,71.977,audio_features,5EQjO4dIVCU6FUKrmkJ13M,spotify:track:5EQjO4dIVCU6FUKrmkJ13M,https://api.spotify.com/v1/tracks/5EQjO4dIVCU6FUKrmkJ13M,https://api.spotify.com/v1/audio-analysis/5EQjO4dIVCU6FUKrmkJ13M,198217,5
1029,The Alliance Featuring Fabo,Tattoo,2007-08-01,rap-song,The+Alliance+Tattoo,0.573,0.603,1,-4.007,1,0.0566,0.0398,0.0,0.152,0.323,74.215,audio_features,0AcGBgRFOAnkyzfQzsifnY,spotify:track:0AcGBgRFOAnkyzfQzsifnY,https://api.spotify.com/v1/tracks/0AcGBgRFOAnkyzfQzsifnY,https://api.spotify.com/v1/audio-analysis/0AcGBgRFOAnkyzfQzsifnY,233493,4
1030,Bone Thugs-N-Harmony Featuring Akon,I Tried,2007-08-01,rap-song,Bone+Thugs-N-Harmony+I+Tried,0.727,0.71,4,-6.142,1,0.0742,0.0104,0.0,0.107,0.378,81.995,audio_features,2elA6JLRaQ6iB7hxiuTKN4,spotify:track:2elA6JLRaQ6iB7hxiuTKN4,https://api.spotify.com/v1/tracks/2elA6JLRaQ6iB7hxiuTKN4,https://api.spotify.com/v1/audio-analysis/2elA6JLRaQ6iB7hxiuTKN4,287480,4
1031,Bone Thugs-N-Harmony Featuring Mariah Carey & Bow Wow,Lil Love,2007-08-01,rap-song,Bone+Thugs-N-Harmony+Lil+Love,0.668,0.661,6,-3.908,1,0.0661,0.0501,0.0,0.168,0.915,154.052,audio_features,4OcLeBfVjxjBn2LHEqHJVR,spotify:track:4OcLeBfVjxjBn2LHEqHJVR,https://api.spotify.com/v1/tracks/4OcLeBfVjxjBn2LHEqHJVR,https://api.spotify.com/v1/audio-analysis/4OcLeBfVjxjBn2LHEqHJVR,232120,4
1032,Bow Wow Featuring T-Pain & Johnta Austin,Outta My System,2007-08-01,rap-song,Bow+Wow+Outta+My+System,0.772,0.59,6,-6.957,1,0.183,0.0917,0.0,0.101,0.743,83.998,audio_features,3LGeYNY9aWQuBJovOOowqm,spotify:track:3LGeYNY9aWQuBJovOOowqm,https://api.spotify.com/v1/tracks/3LGeYNY9aWQuBJovOOowqm,https://api.spotify.com/v1/audio-analysis/3LGeYNY9aWQuBJovOOowqm,238267,4
1033,Unk,2 Step,2007-08-01,rap-song,Unk+2+Step,0.763,0.797,11,-2.274,0,0.0977,0.0583,0.0,0.299,0.645,77.003,audio_features,7beqVxFB2g7DlL09mvfjDv,spotify:track:7beqVxFB2g7DlL09mvfjDv,https://api.spotify.com/v1/tracks/7beqVxFB2g7DlL09mvfjDv,https://api.spotify.com/v1/audio-analysis/7beqVxFB2g7DlL09mvfjDv,195787,4
